source_slug,relationship,target_slug
secret-ballot,USED_IN,electoral-process
separation-of-powers,SUPPORTED,judicial-independence
shadow-cabinet,FORMS,alternative-government
shadow-cabinet,MONITORS,government-ministers
shadow-cabinet,PREPARES_FOR,leadership-transition
shadow-government,FORMED_BY,opposition-party
shadow-government,PROVIDES,alternative-policies
shadow-government,PREPARES_FOR,government-transition
shadow-vote,CONDUCTED_IN,legislative-caucus
shadow-vote,DETERMINES,internal-position
shadow-vote,REPLACED_BY,formal-vote
single-party-state,DOMINATED_BY,one-political-party
single-party-state,RESTRICTS,political-pluralism
single-party-state,ENFORCED_BY,state-control
socialism,INFLUENCED,welfare-state
socialism,INFLUENCED,democratic-socialism
socialism,CONTRASTED_WITH,capitalism
sovereign-immunity,PROTECTS,state-actors-from-lawsuits
sovereign-immunity,CHALLENGED_BY,human-rights-activists
sovereign-immunity,UPHELD_IN,national-courts
spoiler-effect,SPLITS,votes-between-similar-candidates
spoiler-effect,AFFECTS,election-outcome
spoiler-effect,OCCURS_IN,plurality-voting
state-audit,RELATED_TO,political-system
state-audit,EVALUATES,government-finances
state-audit,CONDUCTED_BY,oversight-agency
state-audit,STRENGTHENS,accountability
state-capture,CONTROLLED_BY,private-interest-groups
state-capture,WEAKENS,government-accountability
state-capture,OPPOSED_BY,anti-corruption-reform
state-legislature,PASSES,state-laws
state-legislature,ELECTED_BY,regional-constituencies
state-legislature,INTERACTS_WITH,state-governor
state-of-emergency,DECLARED_DURING,crisis
state-of-emergency,SUSPENDS,civil-liberties
state-of-emergency,REGULATED_BY,constitutional-law
state-sovereignty,CONFLICTED_WITH,global-governance
state-sovereignty,INFLUENCED,nationalism
state-sovereignty,SUPPORTED,self-determination
statism,EMPHASIZES,central-government-role
statism,CONTRASTED_WITH,libertarianism
statism,APPLIED_IN,state-controlled-economies
statutory-law,ENACTED_BY,legislature
statutory-law,RECORDED_AS,codified-law
statutory-law,ENFORCED_BY,judiciary
succession-plan,ENSURES,leadership-continuity
succession-plan,ESTABLISHED_IN,constitutional-framework
succession-plan,ACTIVATED_BY,unexpected-vacancy
super-pac,FUNDS,political-campaigns
super-pac,OPERATES_UNDER,campaign-finance-laws
super-pac,CRITICIZED_FOR,dark-money-influence
swing-state,DETERMINES,electoral-outcome
swing-state,TARGETED_BY,campaign-strategy
swing-state,VARIES_ACROSS,election-cycles
syndicalism,ADVOCATES_FOR,worker-control-of-industry
syndicalism,OPPOSED_TO,capitalist-ownership
syndicalism,EMERGED_FROM,labor-movements
technocracy,OVERLAPS_WITH,authoritarianism
technocracy,EVOLVED_FROM,bureaucracy
technocracy,INFLUENCED,digital-governance
technocracy,SUPPORTED_BY,scientific-management
technocracy,CHALLENGED_BY,populism
term-limit,RESTRICTS,incumbency-duration
term-limit,PREVENTS,political-entrenchment
term-limit,ENACTED_BY,constitutional-reform
theocracy,ENABLED,authoritarianism
theocracy,OPPOSED_BY,secularism
theocracy,JUSTIFIED_BY,divine-right
theocratic-republic,COMBINES,religious-law-and-elected-government
theocratic-republic,CONTRASTED_WITH,secular-democracy
theocratic-republic,STRUCTURED_BY,clerical-and-civil-authority
totalitarianism,OPPOSED_BY,liberal-democracy
town-hall-meeting,ENABLED_BY,participatory-democracy
town-hall-meeting,FACILITATES,direct-dialogue
town-hall-meeting,USED_IN,local-governance
transitional-government,ESTABLISHED_DURING,political-transition
transitional-government,REPLACED_BY,permanent-government
transitional-government,MANAGES,interim-governance
transparency-international,RANKS,governance-index
transparency-international,PROMOTES,anti-corruption
transparency-international,INFLUENCES,public-perception
transparency-legislation,MANDATES,open-government
transparency-legislation,STRENGTHENS,government-accountability
transparency-legislation,CHALLENGES,corruption
tyranny,OPPOSED,rule-of-law
tyranny,PRECEDED,totalitarianism
unicameral-legislature,CONTAINS,single-legislative-body
unicameral-legislature,CONTRASTED_WITH,bicameral-legislature
unicameral-legislature,USED_IN,small-unitary-states
unicameralism,ADVOCATES_FOR,streamlined-governance
unicameralism,OPPOSED_TO,checks-and-balances
unicameralism,USED_IN,unitary-systems
universal-suffrage,EXTENDED,voting-rights
universal-suffrage,ACHIEVED_BY,civil-rights-movements
universal-suffrage,FOUNDATION_FOR,representative-democracy
veto-power,EXERCISED_BY,executive-branch
veto-power,BLOCKS,legislative-bills
veto-power,LIMITED_BY,override-vote
vote-buying,UNDERMINES,free-and-fair-elections
vote-buying,USED_IN,corrupt-campaigns
vote-buying,OPPOSED_BY,electoral-reform
vote-of-confidence,TESTS,government-support
vote-of-confidence,INITIATED_BY,parliament
vote-of-confidence,DETERMINES,government-continuity
vote-of-no-confidence,REMOVES,executive-leader
vote-of-no-confidence,TRIGGERED_BY,legislative-dissent
vote-of-no-confidence,USED_IN,parliamentary-system
vote-share,MEASURES,electoral-support
vote-share,ALLOCATED_TO,political-party
vote-share,AFFECTS,seats-in-legislature
vote-tallying,CONDUCTED_AFTER,election-day
vote-tallying,ENSURES,election-transparency
vote-tallying,MONITORED_BY,electoral-commission
voter-suppression,REDUCES,voter-turnout
voter-suppression,VIOLATES,voting-rights
voter-suppression,PREVENTED_BY,electoral-integrity-laws
voter-turnout,INDICATES,civic-engagement
voter-turnout,AFFECTED_BY,compulsory-voting
voter-turnout,INFLUENCES,election-legitimacy
voting-machine,USED_IN,digital-elections
voting-machine,IMPROVES,vote-tallying-speed
voting-machine,MONITORED_FOR,electronic-fraud
voting-rights,GUARANTEED_BY,constitution
voting-rights,EXTENDED_BY,universal-suffrage
voting-rights,CHALLENGED_BY,voter-suppression
whip-system,RELATED_TO,political-system
whistleblower,REPORTS,government-misconduct
whistleblower,PROTECTED_BY,whistleblower-protection
whistleblower,CHALLENGES,corruption
whistleblower-protection,ENSURES,reporting-safety
whistleblower-protection,ENACTED_BY,transparency-legislation
whistleblower-protection,STRENGTHENS,government-accountability
youth-parliament,ENGAGES,young-citizens
youth-parliament,PROMOTES,political-socialization
youth-parliament,MODELED_AFTER,national-legislature
