name,definition,category,slug
Citizen Confidence,The trust citizens have in political institutions and leadership.,Political Systems & Governance,citizen-confidence
Citizen Consent,"The approval of governance by the governed, often expressed through elections.",Political Systems & Governance,citizen-consent
Citizen Participation,"Involvement of individuals in political processes such as voting, protests, or policymaking.",Political Systems & Governance,citizen-participation
Citizen Petition,A formal request signed by citizens to influence government action or initiate legislation.,Political Systems & Governance,citizen-petition
Citizen Preferences,The opinions and policy desires expressed by the public through surveys or voting.,Political Systems & Governance,citizen-preferences
Citizenship,Legal status granting an individual rights and responsibilities within a political community.,Political Systems & Governance,citizenship
Civic Accountability,The process of holding government officials and institutions responsible to the public.,Political Systems & Governance,civic-accountability
Civil Rights,Basic legal protections and freedoms granted to individuals in a democratic society.,Political Systems & Governance,civil-rights
Civil Rights Movements,Collective efforts to expand and protect the rights of marginalized groups.,Political Systems & Governance,civil-rights-movements
Civil Service,A professional body of government employees tasked with implementing public policies.,Political Systems & Governance,civil-service
Class System,A social hierarchy often reflected in or reinforced by political and economic structures.,Political Systems & Governance,class-system
Classify Political Ideologies,The act of organizing political beliefs into structured categories.,Political Systems & Governance,classify-political-ideologies
Clerical and Civil Authority,Shared governance between religious leaders and elected officials.,Political Systems & Governance,clerical-and-civil-authority
Clientelist Systems,Political arrangements where material goods or favors are exchanged for electoral support.,Political Systems & Governance,clientelist-systems
Climate Activism,Political advocacy aimed at addressing climate change through policy and reform.,Political Systems & Governance,climate-activism
Coalition Partners,Political parties or actors that join together to form a governing coalition.,Political Systems & Governance,coalition-partners
Codification of Laws,The process of organizing and systematizing legal rules into a formal code.,Political Systems & Governance,codification-of-laws
Codified Law,A written and organized set of legal statutes that govern society.,Political Systems & Governance,codified-law
Committees,Sub-groups within a legislative body tasked with reviewing and refining legislation.,Political Systems & Governance,committees
Communist Party Structure,The organizational framework of a ruling or influential communist party.,Political Systems & Governance,communist-party-structure
Comparative Politics,A subfield of political science that compares different political systems and institutions.,Political Systems & Governance,comparative-politics
